Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8099,28149,2023-07-26 12:13:23 EET,2023-07-26,12:13:23,Native Video,583,356,155,35,32,1,1,0,0,3,owned,Yes,2915,3039,0,00:00:45,https://www.facebook.com/100085495329227/posts/239960475530462,"Aurelian Popa a declarat că „se opune 100% oricărei alianțe, oricărei campanii și oricărui sprijin politic pentru Gabriela Firea”.",https://www.facebook.com/100085495329227/videos/1896977614021066/,,,"Firea, go home!",,,,,583,-2.07
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,49843,102880,2023-07-26 17:58:29 EET,2023-07-26,17:58:29,Status,553,473,34,8,38,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/609286354524818,"AUR pentru România la Festivalul Olimpic al Tineretului European! Judoka Tudor Moșoi la 60 de kg. 🤗🥋🇷🇴 Medalie importantă pentru delegația României la EYOF 2023 de la Maribor, Slovenia! După un parcurs excepțional judoka Tudor Moșoi a obținut azi medalia de aur la categoria 60 de kg, fiind asistat excepțional de la margine de către antrenorul Vali Ioniță. Deși nu era printre primii favoriți, tânărul Moșoi, în vârstă de 17 ani, și-a învins azi toți adversarii, în finală dispunând de campionul Lituaniei. HAI ROMÂNIA! 💪👏🇷🇴",,,,,,,,,553,1.39
Tezaur Media TV,tezaurtv.md,100063790682002,TV_CHANNEL,MD,𝕄𝕠𝕤̗𝕥𝕖𝕟𝕚𝕣𝕖 | 𝕋𝕣𝕒𝕕𝕚𝕥̗𝕚𝕖 | ℂ𝕦𝕝𝕥𝕦𝕣𝕒̆                                                                    ,2019-08-05 10:07:23,56277,168995,2023-07-26 09:21:29 EET,2023-07-26,09:21:29,Photo,492,247,109,17,5,0,0,113,0,1,,-,0,0,0,N/A,https://www.facebook.com/100063790682002/posts/753639333439083,"🕊️ Doi ani fără Lidia Bejenaru 🥀 Astăzi, 26 iulie, se împlinesc doi ani de când a părăsit această lume, inegalabila Lidia Bejenaru. 🕊️ Toată lumea o cunoștea pe Lidia Bejenaru ca solista orchestrei „Lăutarii” și soția dirijorului Nicolae Botgros. S-au întâlnit la Școala de muzică din Soroca pe când ambii aveau câte 15 ani și de acolo - aceeași soartă și destin. 🥀 S-a născut în 1953 în satul Țiplești, raionul Sângerei. A studiat la Şcoala de Cultură „E. Sârbu” din Soroca. În perioada 1971-1972 a fost metodistă a Casei de Cultură din oraşul Edineț și conducătoarea unui ansamblu de dansatori. În anii 1973-1974 a fost solistă a Orchestrei de muzică populară „Mugurel”, apoi, pe parcursul anilor 1974-1977, 1979-2021 – solistă a Orchestrei de muzică populară „Lăutarii”. În 1971 s-a căsătorit cu dirijorul Orchestrei „Lăutarii” Nicolae Botgros. Au un singur copil, violonistul Cornel Botgros. 🕊️ Lidia Bejenaru a scris muzica și textele pentru majoritatea cântecelor din repertoriul său. Primul album muzical al interpretei, intitulat ”M-a cuprins un dor de mamă”, a apărut după 20 de ani de activitate scenică. 🥀 În 1993 Lidia Bejenaru a fost distinsă cu medalia „Meritul Civic”, iar în 2010 a primit titlul onorific „Artist al Poporului”. Post-mortem, a devenit Cetățean de Onoare al orașului Sângerei. 🕊️ Pentru o veșnicie, de neuitat rămân a fi cântecele și numele ei.",https://www.facebook.com/photo.php?fbid=753639316772418&set=a.672801328189551&type=3,,,,,,,,492,6.65
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 15:38:22 EET,2023-07-26,15:38:22,Link,457,305,40,51,53,0,2,0,4,2,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/679658777533663,"Suntem băgați în război pentru cerealele lui Zelenski! Marș afară din țara noastră, om fără de Dumnezeu! Dacă voi credeți că vom sta cu mâinile in sân, vă înșelați!",https://www.stiripesurse.ro/diana-sosoaca-despre-posibila-vizita-a-lui-zelenski-dansatorul-la-bara-nu-are-ce-cauta-in-romania_3006813.html,,,Diana Şoşoacă despre posibila vizită a lui Zelenski: `Dansatorul la bară nu are ce căuta în România!`,"Senatorul Diana Șoșoacă, președintele partidului S.O.S. România a luat foc cu privire la anunțul posibiliei vizitei a lui Zelenski în România....",,,,457,1.73
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,764731,N/A,2023-07-26 11:24:05 EET,2023-07-26,11:24:05,Photo,445,398,0,32,6,2,1,4,1,1,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2658023991016706,"EU SUNT PENTRU! E SOLUTIA IDEALA CA PESTE TOT IN LUME, DAR REPET, IN SPITALELE DIN SISTEMUL ROMANESC NU EXISTA SPECIALISTI GENETICIENI, CUM NU EXISTA SI MULTI ALTI SPECIALISTI CARE VOR PUTEA SUSTINE ACEST PROGRAM IN SISTEMUL DE STAT! TREBUIE SPECIALISTI! SISTEMUL PRIVAT STITI FOARTE BINE CE INCEARCA SA FACA…HAIDETI SA LUAM ADEVARUL IN BRATE, CA ALTFEL OMUL DE RAND NU VA BENEFICIA DE NIMIC, DECAT DE SPOIELI SI MUCEGAI!",https://www.facebook.com/photo.php?fbid=2658026867683085&set=a.103012786517852&type=3,,INAINTE SA INAINTATI MODIFICARILE LA MARELE PROGRAM NATIONAL DE CANCER VA INTREB DOMNULE RAFILA CATI GENETICIENI SUNT LA SPITALELE DE STAT? VA SPUN EU! NU SUNT! CE VA DECONTA CASA? TESTELE PE 3000 DE EURO TRIMISE AFARA DE SPITALELE SPITALELEPRIVATE? PRIVATE?,,,,,,445,-1.28
Iulian Capsali,iulian.capsali,100050173613486,PERSON,RO,"Biserica, Familia şi Țara. ",2014-04-14 09:07:40,23089,26924,2023-07-26 01:04:20 EET,2023-07-26,01:04:20,Status,429,378,18,26,5,0,1,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/100050173613486/posts/828936918788754,"TAINA FINANCIARĂ Trebuie să fii complet idiot să nu înțelegi ironia miezoasă, tipic moldovenescă, prin care Pr. Calistrat atacă modul în care căsătoria și-a pierdut Taina și a devenit o sordidă etalare de țopârlănie scumpă. Dar de ce nu mă miră că Baconschi și progresiștii aferenți nu au înțeles nimic?",,,,,,,,,429,-1.46
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 11:11:23 EET,2023-07-26,11:11:23,Link,354,222,55,52,5,1,4,6,5,4,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/679555697543971,"Inca o dovadă că AUR-ul s-a coclit! Omul politic Gh. Piperea, membru AUR, aflat pe lista europarlamentarelor TINICHELEI, o vrea pe Firea la Primăria Capitalei! Ce spun bătrânii din azile? Acum înțelegem de ce au dat tinichelele aviz favorabil la PLX 145! Faptul că AUR ia în considerare susţinerea Gabrielei Firea la Primăria Capitalei, prin vocea lui Piperea, spune multe! Arată de ce, în scandalul azilelor groazei, AUR-ul a fost mut! TINICHEAUA NU A SPUS NIMIC, A TĂCUT MÂLC! Arată, în plus, că AUR-ul lui George Simion e capabil de orice combinaţie ca să ajungă la ciolan. Şi totul e pe bani mulţi! ACUM SPER CĂ AȚI ÎNȚELES CĂ AUR = PSD! COPILUL LUI DÂNCU! V-am spus de mult că AUR-ul s-a coclit! Acum aveţi încă o dovadă. AUR-ul face aranjamente dubioase, în timp ce se dă naţionalist. Şi, în timp ce România e în cea mai gravă criză economică, socială şi la un pas de a fi împinsă în război, AUR se ocupă de lansări de candidaţi şi pescuieşte în ape tulburi şi puturoase. Cei care mă îndemnau să mă aliez cu AUR să ia aminte la adevăratele intenţii şi la manevrele mizerabile ale conducerii acestui partid care nu mai are nici o legătură cu naţionalismul şi cu România, ci doar cu obţinerea de avantaje. Cine votează AUR, votează Firea, votează PSD, votează Dâncu si Grupul de la Cluj, deci GLOBALIȘTII, VOTEAZĂ SISTEMUL! Nu vă mai duceți după fentă! AUR-ul actual e metal fake. Şi acum ,mai mult ca niciodată, nu mai aveţi nici o scuză că nu aţi ştiut! Acum înțelegeți de ce sistemul o cenzurează pe Șoșoacă si nu scoate o vorbă despre partidul S.O.S România! Directorul SRI -ROG- nu a ieșit degeaba. A anunțat ca și politicianul Gh. Piperea că sistemul se va lupta până la capăt să își salveze hidra coruptă, crimele si trădarea națională! Și că adevărații naționaliști, patrioti ca ȘOȘOACĂ, vor fi anihilați de oamenii sistemului! De aceea, îi chem pe naţionaliştii adevăraţi alături de S.O.S. România. Dacă nu vreţi să munciţi pentru Firea, pentru PSD şi pentru cei care au distrus această ţară, veniţi în S.O.S. România. NOI ÎL AVEM PE DUMNEZEU! Dacă nu, aveţi măcar decenţa de a renunţa să vă mai spuneţi naţionalişti. Ce legătură au TINICHEAUA, Firea şi PSD-ul cu naţionalismul?",https://www.stiripesurse.ro/gheorghe-piperea-despre-varianta-ca-aur-sa-o-sustina-pe-gabriela-firea-pentru-primaria-capitalei-sper-ca-vor-lua-in-considerare_3005393.html,,,"Gheorghe Piperea, despre varianta ca AUR să o susțină pe Gabriela Firea pentru Primăria Capitalei: 'Sper că vor lua în considerare'","Avocatul Gheorghe Piperea, profesor de drept comercial la Facultatea de Drept a Universității București și viitor candidat AUR la alegerile...",,,,354,1.32
Dana Budeanu,dana.budeanu.79,100004273922830,,,,,764731,N/A,2023-07-26 08:59:29 EET,2023-07-26,08:59:29,Photo,335,182,0,9,3,2,138,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/dana.budeanu.79/posts/2657949234357515,"PANA LA URMA AL CUI ERA HERMESU’, A LU CURCAN BRUCHENTÃL SAU A LU’ GORGHIU INTERFON?",https://www.facebook.com/photo.php?fbid=1536388073180309&set=a.103012786517852&type=3,,,Dana,"VERDICT ECHIPA CAMPANIE PENSATII PNL

1. RARES RUJ ROZ TIPLAN, JOC DE NUANTE DE BLEUMARIN INSESIZABIL, CAMASA BINE ALEASA, SACOU DESCHIS LA ASEZARE, BATISTA BINE DE DATA ASTA!
2. ALINA INTERFON HOHA, GEANTA HERMES ARUNCATA PÃ CANAPEA APROX 12.000 EURO, TINUTA PILAF, GULERELE DE LA CAMASA NU SE SCOT NICIODATA PESTE SACOU, MARGELELE SUNT PREA SCURTE PENTRU A FI PURTATE PESTE (VEZI CHANEL), PANTALONUL N ARE LEGATURA! PALTONU ROZ DIN CUIER TIPLA! 
3. LUDOVIC PÃ RELAX, NU HALESTE COSTUMELE, SE VEDE, II SUNT MARI MEREU! OMU E ASUMAT PÃ JOMANFUSISM SI PÃ NEGLIJENTA.",,,,335,-1.7
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 18:58:32 EET,2023-07-26,18:58:32,Status,332,265,12,20,33,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/679755367524004,https://sosro.ro/partidul-s-o-s-romania-filiala-galati-a-organizat-proteste-impotriva-taxelor-si-impozitelor-nesimtite-impuse-de-primarie/,,,,,,,,,332,-8.08
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200698,454171,2023-07-26 14:16:09 EET,2023-07-26,14:16:09,Link,279,128,41,53,1,2,3,18,32,1,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/679623450870529,"SUNTEM BĂGAȚI IN RĂZBOI PENTRU CEREALELE LUI ZELENSKI! MARȘ AFARA DIN ȚARA NOASTRĂ, OM FĂRĂ DE DUMNEZEU! DACĂ VOI CREDEȚI CĂ VOM STA CU MÂINILE IN SÂN, VĂ ÎNȘELAȚI! Domnule Ciolacu, faceti greseli după greșeli, iar aici nu mai discutam despre incompetenta, ci despre rea-credinta și tradare! Nu pot decat sa imi aduc aminte de disperarea de la Legile Justitiei cand urlati ca nebunii ca va omoara Johannis, daca nu intram in Schengen! Iete ca nu am intrat si nici nu v-a omorât! In schimb v-ati vandut tara si ati tradat-o! Ati distrus destul, ati furat destul, acum distrugeti fermierii din România, falsificand datele cu privire la nivelul Dunării, astfel incat navele sa se duca spre Ucraina, in timp ce cerealele românesti vor putrezi! Români, încetați sa stați impasibili la distrugerea României! Este complicitate! Dansatorul la bară NU ARE CE CĂUTA IN ROMÂNIA!",https://www.stiripesurse.ro/anca-alexandrescu-volodimir-zelenski-vine-in-romania-si-se-va-intalni-cu-marcel-ciolacu_3006723.html,,,"Volodimir Zelenski vine în România și se va întâlni cu Marcel Ciolacu, dezvăluie Anca Alexandrescu","Președintele Ucrainei, Volodimir Zelenski vine în România și se va întâlni cu premierul Marcel Ciolacu. Este informația zilei, care vine de la...",,,,279,1.04
