Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,419793,677434,2023-09-07 20:23:35 EET,2023-09-07,20:23:35,Live Video Complete,"15,056",4857,4910,3757,1417,14,19,15,10,57,owned,Yes,45755,69662,0,02:09:46,https://www.facebook.com/100044414259997/posts/616165880713028,"DIANA SOSOACA - ANUNT IMPORTANT PENTRU TARA! EXCLUSIV! SHARE MASIV! DESPRE DRONE, RAZBOAIE SI MANIPULARI!",https://www.facebook.com/LuisLazarusZeusTV/videos/616165880713028/,,,"DIANA SOSOACA-ANUNT IMPORTANT PENTRU TARA!EXCLUSIV!SHARE MASIV!DESPRE DRONE, RAZBOAIE SI MANIPULARI!",,,,,1.18
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,422143,679699,2023-09-10 10:49:08 EET,2023-09-10,10:49:08,Live Video Complete,"9,314",4847,1932,1761,650,17,9,47,13,38,owned,Yes,55562,62435,0,01:20:50,https://www.facebook.com/100044414259997/posts/746776227206592,MAINE INCEPE SCOALA! CE FACEM CU DERBEDEII CARE VAND DROGURI SI CU MILITIENII CARE SE UITA!,https://www.facebook.com/LuisLazarusZeusTV/videos/746776227206592/,,,MAINE INCEPE SCOALA! CE FACEM CU DERBEDEII CARE VAND DROGURI SI CU MILITIENII CARE SE UITA!,,,,,-1.32
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,50494,105797,2023-09-07 06:55:04 EET,2023-09-07,06:55:04,Native Video,"5,159",1678,940,1525,18,377,142,397,61,21,owned,Yes,147397,164854,0,00:03:24,https://www.facebook.com/100063303756078/posts/628529865933800,Războiul e aici. Românii filmează și comentează dronele ce lovesc porturile ucrainene. Ministerul Apărării n-a putut …,https://www.facebook.com/cozminhoreagusa/videos/855778115899423/,,,,,,,,1.76
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143659,160888,2023-09-09 20:17:07 EET,2023-09-09,20:17:07,Status,"4,337",3549,139,485,25,11,7,99,8,14,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/327613413173206,"Parafrazându-l pe Kafka - am impresia că lumea a devenit un carnaval nebunesc al măștilor și al simulanților, iar noi, “ne-evoluații”, am nimerit în plin spectacol, având în “dotare” doar propriile chipuri… În Cartea Sfântă scrie că suntem făcuți după chipul și asemănarea lui Dumnezeu, dar cei ce stau la butoane au zis că nu, nu mai acceptă asta. De unde și acerba insistență de a ne remodela ca pe niște figurine de plastilină sau, în caz de opoziție, măcar să ne ascundă chipurile pe după măști…",,,,,,,,,2.46
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143630,160862,2023-09-08 07:15:27 EET,2023-09-08,07:15:27,Photo,"3,738",2676,100,672,11,3,2,240,28,6,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/326729199928294,"O “teorie a conspirației” emisă de mine în plină stare de urgență (2020) și pusă aici, ca postare, a devenit, azi, realitate cruntă: citiți ce scrie în poză, e făcută de cineva care, probabil, și-a amintit azi de “teorie”. E gaură bugetară azi, iar guvernul ia cea mai simplistă decizie: zece piei de pe spinarea clasei de mijloc, prin înăsprirea fiscalității. Poliția pierde lupta cu infracționalitatea (Predoiu dixit), Statul e eșuat (Iohannis dixit), Nimeni nu mai respectă restricțiile legale sau morale, Aproape nimeni nu mai are încredere în medici, Respectul pentru familie, școală, viitor și seniori e la cotele cele mai joase, Legile devin atât de demente încât par că anunță finalul civilizației, ca și când cineva ar ține morțiș să îi confirme zicerea de acum 2000 de ani a lui Cicero. Totul ni se întâmplă pentru că o mână de elite “vulpi” au decis că trebuie să ne luptăm cu un guturai, iar pentru asta statele s-au îndatorat (=ne-au îndatorat) cu oricât a fost și va fi fost necesar. Ridicol, azi e de-a dreptul sărbătorită această doctrină - what ever it takes (quoi qu’il en coute, în franceză). A se vedea ZF de azi, care îl laudă pe Mario Draghi, fost șef al BCE, cel care, cică, în 2012, ar fi salvat euro cu această doctrină, falimentând Grecia, în schimb (și îndatorând etern și imens Italia, Spania și Portugalia). A fost de porc - în slangul bancar și jurnalistic, acele țări afundate în datorii pentru a salva băncile intrigante și corupte s-au numit PIIGS. Ceea ce ni se întâmplă acum este pentru că vulpile nebune de la guvernare au îndatorat statul cu peste 65 de miliarde de euro, pentru a se “lupta” cu plandemia. Nu știm la cât se ridică enormele cheltuieli de război și înarmare, impuse de birocrația euro-atlantică pentru a-și acoperi vina pentru nenorocirile și infracțiunile din plandemie, dar nici nu contează: doctrina “oricât este necesar” nu va fi curând abandonată. Se câștigă prea mult de prea puțini pe seama ei…",https://www.facebook.com/photo.php?fbid=326729173261630&set=a.161432573124625&type=3,,"CÂT DE PROST să fii ca să crezi că te apără de virus o declarație pe proprie răspundere, închiderea magazinelor la 6, blocajul în casă la 8 și închiderea școlilor (unde rata de infecție este, oficial, cea mai redusă)? CÂT DE IRESPONSABIL să fii ca să nu vezi că punerea la pământ a economiei și distrugerea mentală a populației, pentru a te feri de o viroză, determină în ritm accelerat pierderea sursei de finanțare a nebuniei și dispariția susținerii sociale a restricțiilor, cu consecințe anarhice?",,,,,,1.73
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,84580,94486,2023-09-08 14:53:54 EET,2023-09-08,14:53:54,Native Video,"3,458",1118,427,983,11,96,18,207,590,8,owned,Yes,29999,35470,0,00:10:34,https://www.facebook.com/100063953040074/posts/742103751264720,"Cum se sparg banii publici pe ""artă"" și roboței. Încă o blasfemie în mijlocul Bucureștiului pe banii noștri!",https://www.facebook.com/IosefinaIosefinaPascal/videos/832276098460267/,,,,,,,,1.89
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143597,160831,2023-09-07 08:09:33 EET,2023-09-07,08:09:33,Native Video,"2,403",1796,52,514,16,6,5,6,4,4,owned,Yes,12030,17697,0,00:02:59,https://www.facebook.com/100077736491457/posts/326237966644084,"Elitele “vulpi” vin și se mențin la putere prin intrigi, viclenie și corupție. Asta o spunea acum peste 500 de ani Machiavelli, deci corporațiile știu asta foarte bine. Știu și unde să “ungă”, ca să le fie bine și la iarnă, cald. Iată cum pot fi forțate vulpile să pună osul la treabă sau să părăsească terenul:",https://www.facebook.com/gheorghe.piperea/videos/854286642933604/,,,,,,,,1.43
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8499,28922,2023-09-10 16:13:20 EET,2023-09-10,16:13:20,Live Video Complete,"1,516",893,329,173,115,1,3,0,0,2,owned,Yes,7414,7855,0,01:25:43,https://www.facebook.com/100085495329227/posts/663598675716526,Aurelian.RO@LIVE cu Grigore Culian (NY) 10 sep 2023,https://www.facebook.com/100085495329227/videos/663598675716526/,,,Aurelian.RO@LIVE cu Grigore Culian (NY),,,,,-1.14
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,201646,454588,2023-09-08 21:50:05 EET,2023-09-08,21:50:05,Link,"1,284",645,161,358,8,11,12,11,71,7,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/705358431630364,"RĂSPUNS PT ACTORUL DANSATOR ZELENSKI! DANSATORUL LA BARĂ CARE JOACĂ ROLUL DE PRESEDINTE AL UNUI STAT ILEGAL, AFLAT IN GRANITE ILEGALE, CARE INSTIGA LA RAZBOI SI MINTE NATO, UE , USA ETC, ESTE CEL IMPOTRIVA CĂRUIA ROMÂNIA AR TREBUI SA ÎNTOARCĂ ARMELE!",https://www.ziuaveche.ro/top-secret/armata-2/drona-prabusita-in-romania-apartinea-ucrainei-si-este-fabricata-in-sua-324342.html,,,Drona prăbușită în România aparținea Ucrainei și este fabricată în SUA,"Drona care a fost găsită la Ceatalchioi nu avea încărcătură explozivă și era folosită pentru spionaj. Este vorba despre o dronă Phoenix Ghost, fabricată de Aevex Aerospace din SUA. Respectiva dronă",,,,5.66
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48116,68500,2023-09-07 12:00:36 EET,2023-09-07,12:00:36,Live Video Complete,983,437,372,82,79,3,2,1,2,5,owned,Yes,8533,8708,0,02:27:44,https://www.facebook.com/100063623349419/posts/292473433414731,"07.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/292473433414731/,,,"07.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,1.52
