Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,416633,674391,2023-09-04 16:49:23 EET,2023-09-04,16:49:23,Live Video Complete,"127,608",66065,22184,29752,6039,370,742,742,1434,280,owned,Yes,1163910,1429556,0,00:21:27,https://www.facebook.com/100044414259997/posts/683988109865380,"IN SFARSIT: DIANA SOSOSCA L-A “PRINS” PE FLORIN CÎȚU, IN PARLAMENT!",https://www.facebook.com/LuisLazarusZeusTV/videos/683988109865380/,,,IN SFARSIT DIANA SOSOSCA L-A PRINS PE FLORIN CITU IN PARLAMENT!,,,,,10.69
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,416633,674391,2023-09-04 09:34:06 EET,2023-09-04,09:34:06,Live Video Complete,"31,732",14534,3951,10584,2327,41,61,63,50,121,owned,Yes,184391,265371,0,02:13:49,https://www.facebook.com/100044414259997/posts/293325886666459,"DIANA SOSOACA - DESPRE MOARTEA SUSPECTA A CELUI CARE A RETRAS AUTORIZATIA DE FUNCTIONARE STATIEI GPL! CARE ESTE MOTIVUL ATACULUI ""COMANDANTULUI ACTIUNII"" IMPOTRIVA DIANEI!!! SE DORESTE CUMVA MUSAMALIZAREA INTREGII POVESTI DE LA CREVEDIA?",https://www.facebook.com/LuisLazarusZeusTV/videos/293325886666459/,,,DIANA SOSOACA-DESPRE MOARTEA SUSPECTA A CELUI CARE A RETRAS AUTORIZATIA DE FUNCTIONARE  STATIEI GPL!,,,,,2.66
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,418700,676381,2023-09-06 17:46:15 EET,2023-09-06,17:46:15,Live Video Complete,"17,844",10611,2270,2813,1938,26,35,56,20,75,owned,Yes,123920,139480,0,00:42:27,https://www.facebook.com/100044414259997/posts/1674689822942426,DIANA SOSOACA - URMEAZA VREMURI GRELE!,https://www.facebook.com/LuisLazarusZeusTV/videos/1674689822942426/,,,DIANA SOSOACA - URMEAZA VREMURI GRELE!,,,,,1.72
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,417182,674897,2023-09-05 10:06:00 EET,2023-09-05,10:06:00,Live Video Complete,"14,868",8104,2772,2571,1206,25,50,28,43,69,owned,Yes,155226,169068,0,01:44:39,https://www.facebook.com/100044414259997/posts/1023502138844108,"ATENTIUNE! EMISIUNE DE FORTA! COLIZIUNEA DINTRE SOSOACA SI SIMION, MARE CEARTA, MARE DISCUTIE, SUPARAREA ANCAI ALEXANDRESCU PE ORLANDO TEODOROVICI SI TOT CEEA CE TREBUIE SA STITI DESPRE ACCIDENTUL SUSPECT AL COLONELULUI ISU, CARE A MURIT PE MOTOCICLETA, IN POLIGON, FARA SA PUNA FRANA MACAR!",https://www.facebook.com/LuisLazarusZeusTV/videos/1023502138844108/,,,"EMISIUNE DE FORTA! COLIZIUNEA DINTRE SOSOACA SI SIMION, SUPARAREA ANCAI ALEXANDRESCU PE TEODOROVICI!",,,,,1.25
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,36338,89955,2023-09-05 16:32:17 EET,2023-09-05,16:32:17,Native Video,"4,958",3314,462,939,181,15,10,19,10,8,owned,Yes,26743,29446,0,00:02:01,https://www.facebook.com/100063550934191/posts/800334195428271,ATENȚIE. Scandalul drogaților ia amploare. Iată soluția mea!,https://www.facebook.com/bistriceanudragos/videos/842442974105055/,,,SCANDALUL IA AMPLOARE,,,,,-1.21
Adriana Bahmuteanu Official,,100044152373697,PERSON,RO,jurnalist si psiholog,2015-02-03 20:44:57,241566,290820,2023-09-04 00:35:30 EET,2023-09-04,00:35:30,Native Video,"4,691",2068,350,1693,26,46,12,108,371,17,owned,Yes,21815,42715,0,00:05:55,https://www.facebook.com/100044152373697/posts/859546802193724,"Atenție, vi se pregateste ceva!!!",https://www.facebook.com/100044152373697/videos/849133496346454/,,,,,,,,10.11
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8463,28848,2023-09-05 21:00:40 EET,2023-09-05,21:00:40,Live Video Complete,"4,053",1828,695,1092,408,13,1,2,2,12,owned,Yes,12953,16753,0,01:19:32,https://www.facebook.com/100085495329227/posts/318576290677265,Interview with Robert Malone MD,https://www.facebook.com/100085495329227/videos/318576290677265/,,,Interview with Robert Malone MD,,,,,2.4
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143360,160597,2023-09-04 11:32:25 EET,2023-09-04,11:32:25,Status,"3,265",2558,95,532,28,9,2,33,3,5,,-,0,0,0,N/A,https://www.facebook.com/100077736491457/posts/324713500129864,"Feisbuc mă întreabă „la ce te gândești”. Uite la ce mă gândesc: Societatea post-modernă este condusă prin frica evlavioasă de „știri false” și de opinii divergente, prin regula medievală „crede și nu cerceta” și prin excepționalism economic: crize peste crize, sudate una de alta, pentru a acoperi nenorocirile cauzate de crizele anterioare și crimele săvârșite de „salvatorii” automandatați, mereu în căutare de dușmani care să îi legitimeze. Valorile etice și religioase ale unei societăți, odată tocite sau neutralizate, vor lăsa loc oricărei abominații. Dacă omul este convins că Dumnezeu a fost evacuat, omul va fi ști că totul (îi) este permis. În lipsă de condamnare morală, consumul de droguri, reificarea corpului uman (transformarea integrală sau pe părți a omului în marfă), violul, pedofilia, practicile sexuale perverse ori demențiale, trivializarea și comercializarea științei, imunitatea de răspundere a puternicilor zilei și a vătafilor lor prea-plecați, vor deveni obișnuințe. Omul nu va mai sesiza răul, care se va banaliza. Crezând că timpul le va rezolva pe toate, omul va ajunge să își iubească frica și colivia în care se imaginează a fi în siguranță și fericit cu puținul neglorios pe care îl are. Până când, desigur, și acest puțin i se va lua – doar că, ulterior, nu va mai fi fost nimc de făcut. Feisbuc este unul dintre instrumentele esențiale ale banalizării răului. PS Scriem pe feisbuc pentru că nu mai există alternativă, iar nu pentru că ținem neapărat să îi umplem de bani și putere pe acționarii săi.",,,,,,,,,1.95
Gheorghe Piperea,gheorghe.piperea,100077736491457,LAW_FIRM,RO,"profesor de drept comercial la Facultatea de Drept din cadrul Universitatii Bucuresti, avocat, pract",2012-11-12 08:43:29,143487,160726,2023-09-05 19:16:49 EET,2023-09-05,19:16:49,Native Video,"2,247",1633,65,483,14,12,2,23,12,3,owned,Yes,14847,18969,0,00:02:47,https://www.facebook.com/100077736491457/posts/325438276724053,Cei mai “inteligenți” lideri de stat-membru UE și birocrații lor “bine” intenționați…,https://www.facebook.com/gheorghe.piperea/videos/288120113851262/,,,,,,,,1.63
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,84544,94439,2023-09-06 21:46:37 EET,2023-09-06,21:46:37,Live Video Complete,"2,209",1223,206,531,226,3,0,3,4,13,owned,Yes,10412,11242,0,00:35:49,https://www.facebook.com/100063953040074/posts/1007977450516626,LIVE‼️ CINE A FURAT BANII PENTRU REFUGIAȚI??? Detergenții fac Propagandă si șefii lumii se distrează!,https://www.facebook.com/IosefinaIosefinaPascal/videos/1007977450516626/,,,,,,,,4.33
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8463,28848,2023-09-05 13:20:29 EET,2023-09-05,13:20:29,Live Video Complete,"1,899",1185,292,279,135,1,1,0,0,6,owned,Yes,7575,8119,0,01:01:59,https://www.facebook.com/100085495329227/posts/1247378413328081,"Aurelian.RO@Gold FM – 5 sep 2023 - De la 14.15 vom analiza cu Aurelian Popa poziționarea lui Raed Arafat în dezastrul Crevedia și implicațiile de tip mafiot, respectiv vom discuta crima fostului șef din Poliție care, drogat și beat fiind, a ucis și accidentat persoane. LE. Testele de sâmge infirmă drgangeala. Rămâne bețivăneala.",https://www.facebook.com/100085495329227/videos/1247378413328081/,,,Aurelian.RO@Gold FM – 5 sep 2023,,,,,1.12
Adriana Bahmuteanu Official,,100044152373697,PERSON,RO,jurnalist si psiholog,2015-02-03 20:44:57,241574,290826,2023-09-04 19:13:38 EET,2023-09-04,19:13:38,Live Video Complete,"1,477",811,154,421,78,2,3,5,1,2,owned,Yes,8141,9738,0,00:53:55,https://www.facebook.com/100044152373697/posts/3386641024916089,Dan Bazavan cheama lumea la proteste!!! Se pregateste alta plandemie?,https://www.facebook.com/100044152373697/videos/3386641024916089/,,,Dan Bazavan cheama lumea la proteste ! Se pregateste alta plandemie????,,,,,1.73
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48055,68453,2023-09-04 12:00:03 EET,2023-09-04,12:00:03,Live Video Complete,"1,355",638,422,158,116,1,0,4,0,16,owned,Yes,9718,10069,0,02:21:17,https://www.facebook.com/100063623349419/posts/291640276847684,"04.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/291640276847684/,,,"04.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.65
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8456,28833,2023-09-04 21:40:00 EET,2023-09-04,21:40:00,Native Video,"1,217",796,116,221,72,1,1,4,2,4,owned,Yes,5558,6515,0,00:03:45,https://www.facebook.com/100085495329227/posts/261067576753085,Cum i-am făcut pe moderatorii Digi-24 să recunoască toxicitatea și demagogia jaloanelor din PNRR introduse de USR cu acordul tacit și al PNL și al PSD? LE. … și al UDMR!,https://www.facebook.com/100085495329227/videos/683383989936465/,,,,,,,,1.01
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,48070,68459,2023-09-05 12:00:05 EET,2023-09-05,12:00:05,Live Video Complete,"1,205",590,379,125,89,2,2,2,3,13,owned,Yes,8263,8435,0,02:22:20,https://www.facebook.com/100063623349419/posts/1021016502360707,"05.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/1021016502360707/,,,"05.09.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.35
