Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,34277,80329,2023-08-12 16:31:50 EET,2023-08-12,16:31:50,Native Video,"18,557",12000,1586,4470,199,48,82,59,93,20,owned,Yes,192786,218279,0,00:02:45,https://www.facebook.com/100063550934191/posts/785365676925123,ATENȚIE! Mă lămurește cineva?! Cum au companiile străine cifre de afaceri de MILIARDE și profituri 0 în fiecare an?!,https://www.facebook.com/bistriceanudragos/videos/1290150631664625/,,,SCHEMA COMPANIIOR STRĂINE,,,,,3.08
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408668,666901,2023-08-12 09:08:18 EET,2023-08-12,09:08:18,Live Video Complete,"12,102",6981,1251,2431,1329,7,31,9,10,53,owned,Yes,91610,107155,0,00:42:06,https://www.facebook.com/100044414259997/posts/311191991358000,"DIANA SOSOACA, MIRON MANEGA, LUIS LAZARUS, LA SCOALA DE VARA SOS! CE SPUNEAM LA CURSUL DE MANIPULARE!",https://www.facebook.com/LuisLazarusZeusTV/videos/311191991358000/,,,"DIANA SOSOACA, MIRON MANEGA, LUIS LAZARUS, LA SCOALA DE VARA SOS!CE SPUNEAM LA CURSUL DE MANIPULARE!",,,,,1.09
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408705,666927,2023-08-13 18:58:39 EET,2023-08-13,18:58:39,Live Video Complete,"10,326",5716,1673,2184,673,8,14,13,12,33,owned,Yes,59440,67371,0,01:15:25,https://www.facebook.com/100044414259997/posts/253666233800271,DESPRE CUM MANIPULEAZA MILIARDARII PLANETEI POPULATIA INVENTAND PROBLEME PE CARE TOT EI SA LE REZOLVE!,https://www.facebook.com/LuisLazarusZeusTV/videos/253666233800271/,,,CUM MANIPULEAZA MILIONARII PLANETEI POPULATIA INVENTAND PROBLEME PE CARE TOT EI SA LE REZOLVE!,,,,,-1
Dragoș Bistriceanu - Pagina publică,bistriceanudragos,100063550934191,JOURNALIST,RO,"Opinii tăioase, sincere și asumate din partea unui simplu jurnalist!",2018-10-19 13:25:12,34294,80409,2023-08-13 10:51:39 EET,2023-08-13,10:51:39,Native Video,"8,742",5720,374,2388,55,91,34,29,31,20,owned,Yes,225108,231209,0,00:01:25,https://www.facebook.com/100063550934191/posts/785863483542009,FIȚI VIGILENȚI ȘI AVEȚI GRIJĂ DE UNDE SCOATEȚI BANII! Autoritățile sunt în alertă!,https://www.facebook.com/bistriceanudragos/videos/665767665158050/,,,ATENȚIE! PUTEȚI RĂMÂNE FĂRĂ BANI PE CARD,,,,,1.63
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8216,28359,2023-08-12 10:12:54 EET,2023-08-12,10:12:54,Photo,"3,378",2387,318,295,361,0,2,1,0,14,,-,0,0,0,N/A,https://www.facebook.com/100085495329227/posts/248991107960732,"M-AM OPUS, MĂ OPUN ȘI MĂ VOI OPUNE IMPUNERII VACCINĂRII SAU ORICĂRUI ACT / DISPOZITIV MEDICAL 💙💛❤️",https://www.facebook.com/photo.php?fbid=248991087960734&set=a.112198618306649&type=3,,,,,,,,4.14
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,80596,90322,2023-08-10 19:35:51 EET,2023-08-10,19:35:51,Native Video,"3,227",1393,148,1135,21,156,6,90,269,9,owned,Yes,17969,28082,0,00:03:12,https://www.facebook.com/100063953040074/posts/722175013257594,La TV avem educație s.exuală pentru fetițe de 2-4 ani și discuții despre boli venerice cu băieței de 9-12 ani. E normal? Ne vedem LIVE azi începând cu ora 21 la RomâniaTV la emisiunea lui Victor Ciutacu! ✌🏼,https://www.facebook.com/IosefinaIosefinaPascal/videos/295796759768109/,,,,,,,,1.69
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8208,28336,2023-08-10 19:51:31 EET,2023-08-10,19:51:31,Live Video Complete,"1,739",1052,198,344,137,0,1,2,1,4,owned,Yes,10562,12378,0,01:20:37,https://www.facebook.com/100085495329227/posts/117723821404798,Un altfel de 10 august cu Doru Apostol din Sibiu | Aurelian.RO,https://www.facebook.com/100085495329227/videos/117722984738215/,,,Un altfel de 10 august cu Doru Apostol din Sibiu | Aurelian.RO,,,,,-1.01
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200864,454190,2023-08-13 13:05:52 EET,2023-08-13,13:05:52,Native Video,"1,365",795,139,272,137,3,7,4,0,8,owned,Yes,5838,6712,0,00:00:32,https://www.facebook.com/100064686406556/posts/690308376468703,"2024, totul sau nimic!",https://www.facebook.com/DianaSosoacaOficial/videos/264472059678240/,,,,,,,,1.47
Radio Gold FM Romania,radiogoldfmromania,100063623349419,RADIO_STATION,RO,Radio Gold FM Romania. Va asteptam pe frecventa 96.9FM,2011-10-28 11:05:16,47504,67945,2023-08-10 11:59:43 EET,2023-08-10,11:59:43,Live Video Complete,"1,059",426,452,94,78,0,3,1,0,5,owned,Yes,7002,7155,0,02:26:08,https://www.facebook.com/100063623349419/posts/1711408409363894,"10.08.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",https://www.facebook.com/radiogoldfmromania/videos/1711408409363894/,,,"10.08.2023 - ”Ce-i în Gușă, și-n căpușă” - cu Cozmin Gușă",,,,,2.15
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8222,28369,2023-08-13 09:34:20 EET,2023-08-13,09:34:20,Photo,823,517,28,232,43,0,0,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/100085495329227/posts/249490081244168,"ST⛔️P IMPUNERII VACCINĂRII MINISTERUL SĂNĂTĂȚII (A.K.A. MORȚII) JOI, 17 AUG '23, 11:00",https://www.facebook.com/photo.php?fbid=249496977910145&set=a.123064717220039&type=3,,"STOP IMPUNERII VACCINARII MINISTERUL SANATATII JOI, 17 AUG 2023 ORA 11:00",,,,,,1.04
