Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408187,666493,2023-08-07 11:53:23 EET,2023-08-07,11:53:23,Live Video Complete,"15,234",8036,2045,3786,1082,51,69,46,57,62,owned,Yes,145691,160150,0,01:01:14,https://www.facebook.com/100044414259997/posts/308006018347874,"EMISIUNEA SOC: DIANA SOSOACA, ORLANDO TEODOROVICI, LUIS LAZARUS! MODERATOR ANCA ALEXANDRESCU!",https://www.facebook.com/LuisLazarusZeusTV/videos/308006018347874/,,,"EMISIUNEA SOC: DIANA SOSOACA, ORLANDO TEODOROVICI, LUIS LAZARUS! MODERATOR ANCA ALEXANDRESCU!",,,,,1.41
Luis Lazarus-Zeus Tv,LuisLazarusZeusTV,100044414259997,PERSON,RO,TRAIASCA PATRIA ! ,2011-02-07 14:43:06,408119,666420,2023-08-06 17:59:26 EET,2023-08-06,17:59:26,Live Video Complete,"11,430",6175,1743,2407,949,22,23,61,13,37,owned,Yes,104571,113155,0,01:23:36,https://www.facebook.com/100044414259997/posts/668252838520706,"PARINTELE SINGUROV - EPISODUL 2 - DESPRE UNTOLD, SATANISME, DISPARITIA SI UCIDEREA FETELOR SI POZITIA BOR !",https://www.facebook.com/LuisLazarusZeusTV/videos/668252838520706/,,,"PARINTELE SINGUROV -EPISODUL 2-  UNTOLD, SATANISME, DISPARITIA SI UCIDEREA FETELOR SI POZITIA BOR !",,,,,1.03
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200819,454206,2023-08-06 14:27:30 EET,2023-08-06,14:27:30,Photo,"7,100",5563,441,226,827,4,12,2,0,25,,-,0,0,0,N/A,https://www.facebook.com/100064686406556/posts/685854266914114,,https://www.facebook.com/photo.php?fbid=685854266914114&set=a.253540066812205&type=3,,"PE AICI NU SE TRECE""",Diana Iovanovici Șoșoacă- Oficial,,,,,7.39
Iosefina Iosefina Pascal,IosefinaIosefinaPascal,100063953040074,NEWS_SITE,RO,"NU mor Iosefinele, cand vor cainii",2019-04-25 16:10:49,80511,90204,2023-08-06 07:33:42 EET,2023-08-06,07:33:42,Native Video,"4,242",2936,202,841,218,15,6,11,7,6,owned,Yes,36425,41796,0,00:07:46,https://www.facebook.com/100063953040074/posts/718753223599773,"În timp ce ""oamenii de bine"" sunt supărați pe crucile de la marginea drumurilor... Vlăduț Magicul a ajuns la UNTOLD, cu tot cu carcalacii și ""Collective"".",https://www.facebook.com/IosefinaIosefinaPascal/videos/974678113823614/,,,,,,,,2.13
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8156,28219,2023-08-06 18:53:43 EET,2023-08-06,18:53:43,Live Video Complete,"3,284",954,843,1226,220,6,1,15,14,5,owned,Yes,7675,15326,0,02:12:08,https://www.facebook.com/100085495329227/posts/256314570658579,Despre Strategia Națională de Vaccinare Angela Negrotă Dr Anca Nitulescu Dr Hagima Geanina Pompiliu Diplan Dr Sorin Muncaciu,https://www.facebook.com/100085495329227/videos/256314480658588/,,,Despre Strategia Națională de Vaccinare,,,,,1.91
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,49872,102989,2023-08-07 14:24:37 EET,2023-08-07,14:24:37,Status,"3,198",2516,225,386,35,3,7,18,1,7,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/614725173980936,"Gușă: UNTOLD-iștii ne arată că sunt două Românii, a lor e la modă și-n ascensiune. Lupii moraliști apără drogangeala și vulgaritatea deoarece li s-a spus că e noua marcă a Occidentului. Eu rămân un român demodat și prost! (transcrierea editorialului vorbit din emisiunea “Ce-i în Gușă, și-n căpușă!”, de la GOLD FM) Autor: Cozmin Gușă Ce este Untold sau, mai precis, ce a ajuns să fie? Este un festival de 4 zile și 4 nopți, azi dimineață a ținut festivalul până la orele 8:00 în ziua de luni, de un uriaș succes intern și internațional. A consacrat Clujul ca fiind una dintre capitalele europene de ordin cultural. La acest festival sunt prezentate noile tendințe occidentale, noua muzică, noile băuturi, noile droguri, noii îmbogățiți sau parveniți, noile haine sau lipsa lor, noua vulgaritate la pachet cu noile înjurături. E clar că dacă nu participi la Untold, fie și virtual, din galeria internauților, nu ești în trend sau în tendință. Românii n-aveau cum rata însă să fie „trendsetteri”, adică inițiatori de modă (principala noastră calitate, dar cu consecințe de defect, este adaptabilitatea), iar Clujul a fost ales ca și gazdă pentru Untold tocmai pentru că se pretează la așa ceva. Clujul a fost înainte de 1989 localitatea cea mai dominată de securiști sau informatori, sub pretextul pericolului maghiar. Acolo a venit prima dată televiziunea prin cablu și miliardarii aferenți, tot acolo s-au dat cele mai mari tunuri financiare, de la Dacia Felix, la Caritas sau fondurile mutuale. La Cluj, avem cea mai importantă universitate, Babeș-Bolyai, ce a produs în ultimii ani mulți oameni noi, posibil defecți, pe bandă rulantă. Acolo se înghesuie IT-iștii supra-plătiți, dar neimpozitați, și tot acolo, la Cluj, foștii securiști sau informatori sau nomenclaturiști conduc orașul de decenii și au devenit între timp miliardari în euro. În fine, la Cluj tronează, ales și reales, micuțul primar Boc, fost lider comunist, actual neomarxist vopsit în liberal, cel ce a pus bazele Untoldului, că de aia era important și acum este mândru nevoie mare acest băiat din Răchițele. Vă zic aceste lucruri în calitate de clujean. Eu mai merg la Cluj o dată sau maxim de două ori pe an, tocmai pentru că nu prea mă mai atrage nimic, în afara unor vechi prieteni ce își duc cu greu traiul în acest Turn Babel pe care vi l-am prezentat într-un mod sintetic. Untoldul ne-a arătat și în acest an, printre participanți, chiar parveniții tranziției: afaceriști, jurnaliști, dive, influenceri, cântăreți alte categorii îndoielice. Toți se bucurau și se bâțâiau, se simțeau bine împreună sub valurile de alcool și droguri ce i-a unit într-o mare familie, care în aparență numără circa 100.000 de oameni cei de la fața locului; în realitate, dacă punem la socoteală și galeria de câteva milioane ce-i urmăresc cu admirație și invidie prin Internet, vorbim despre de fapt „a doua Românie”. Untoldul ne arată, prieteni, acest lucru, că avem două Românii, cu cetățeni cu aspirații de viață net diferite. Însă România untoldiștilor este în trend nu doar că e occidentalizată, dar dă ora exactă în Europa pentru acest gen de manifestări și bineînțeles că se va extinde și noua capitală a luxului mondial, era să zic și a curvăsăriei, adică la Dubai. Eu, Cozmin Gușă, nu vreau să impun nimic. Nici nu acuz participanții. La urma urmei în 1989 am luptat pentru ca fiecare să poată să facă și să zică ce vrea, numai că noi, ăștialalți, suntem cei certați deja că nu ne racordăm acestui val de „dezvoltare culturală”. Am văzut în ultimele zile lupi moraliști care ne reamintesc, sfătoși, că suntem retrograzi și ne zic, cu un aer înțelept, că și noi am fi fost în tinerețe cum sunt tinerii ăia drogați, care se bâțâiau de parcă erau electrocutați în muzica de la Untold. Nu, noi n-am fost așa. Cântatul nostru pe la petreceri de la muzică populară sau rock nu e egal cu scălâmbăiala și bâțâitul pe stadioanele de azi, unde luminile sunt mai importante decât muzica, care muzică și ea în urmă cu ceva decenii avea ritm, avea mesaj, nu era o încropeală de vulgaritate de tip „Ghebosul” sau alți dezaxați ce emit mesaje bune doar pentru onaniști timizi și tembeli sau domnișoare frustrate sexual. Și nici n-aveam nevoie de droguri ca să ne simțim bine. Ne era suficientă băutura autohtonă și nici n-ajungeam apoi pe la spitale ca fiind intoxicați, să se chinuie după aia medicii cu fel de fel de tratamente vederi intoxicare, iar familiile, doamnele din familie, mamele, să leșine pe acasă. Șpilul e că lupii moraliști, mulți dintre ei foarte bine plătiți, au ghicit că ăsta este trendul occidental. Îl promovează fără limite. Sunt cam aceiași care urlau să ne vaccinăm și și ne făceau proști dacă prezentam contraargumente. Uitându-mă la personajele care sunt acolo, de la patroni de cluburi, patroni de mari companii, miliardari, repet, dive, mari influenceri și așa mai departe, într-un fel, da, e clar că noi suntem cei proști, și, chiar așa, e clar că ei reprezintă deștepții României, iar Untold îi (truncated)",,,,,,,,,8.1
Cozmin Gusa,cozminhoreagusa,100063303756078,PERSON,RO,Cozmin Gusa - Pagina Oficiala,2019-09-12 14:11:16,49872,102989,2023-08-07 22:10:48 EET,2023-08-07,22:10:48,Photo,"2,001",1612,82,248,37,4,5,6,3,4,,-,0,0,0,N/A,https://www.facebook.com/100063303756078/posts/614897910630329,,https://www.facebook.com/photo.php?fbid=614897880630332&set=a.384763180310471&type=3,,,,,,,,3.23
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200803,454177,2023-08-07 09:06:25 EET,2023-08-07,09:06:25,Native Video,"1,858",1025,167,454,195,1,4,2,1,9,owned,Yes,8551,11440,0,00:05:41,https://www.facebook.com/100064686406556/posts/686379676861573,"Protest împotriva cenzurii impuse de CNA care amendează cele două televiziuni care au curajul să mă invite să vorbesc liber! CNA ne pune botniţă! Şi surpriza de la Şcoala de Vară a partidului S.O.S. România de la Rânca, 9-13 august!",https://www.facebook.com/DianaSosoacaOficial/videos/973365380558722/,,,,,,,,2.06
Diana Iovanovici Șoșoacă- Oficial,DianaSosoacaOficial,100064686406556,POLITICIAN,RO,"Diana Iovanovici-Șoșoacă, Senator - Pagina oficială de Facebook",2021-02-28 15:24:10,200803,454177,2023-08-07 11:06:02 EET,2023-08-07,11:06:02,Native Video,"1,827",976,303,401,133,3,7,0,2,2,owned,Yes,8294,9596,0,00:11:21,https://www.facebook.com/100064686406556/posts/686428826856658,"Mircea Toma, omul USR, al lui Soros şi al cenzurii din CNA, demisia!",https://www.facebook.com/DianaSosoacaOficial/videos/1497118527714382/,,,,,,,,2.04
Aurelian Live 6,,100085495329227,MEDIA_CRITIC,RO,A șasea pagină a lui Aurelian.,2022-09-04 13:37:41,8164,28238,2023-08-07 12:27:43 EET,2023-08-07,12:27:43,Live Video Complete,"1,771",720,309,611,114,3,0,5,2,7,owned,Yes,4016,6050,0,00:21:27,https://www.facebook.com/100085495329227/posts/822721469295875,"7 aug 2023, Ministerul Sănătății Protest anti-HG vaccinare obligatorie Rafila, go home!",https://www.facebook.com/100085495329227/videos/822721399295882/,,,Protest anti-HG vaccinare obligatorie,,,,,1.05
